step,elapsed_sec,sec_per_step,lr,loss
240,2176,9.07,1.0e-04,2.086e-01
241,2185,9.07,1.0e-04,4.231e-01
242,2194,9.07,1.0e-04,3.810e-01
243,2203,9.07,1.0e-04,2.508e-01
244,2212,9.07,1.0e-04,1.702e-01
245,2221,9.07,1.0e-04,1.616e-01
246,2230,9.07,1.0e-04,4.191e-01
247,2239,9.07,1.0e-04,3.668e-01
248,2248,9.07,1.0e-04,1.282e-01
249,2257,9.07,1.0e-04,2.161e-01
250,2266,9.07,1.0e-04,3.479e-01
251,2275,9.07,1.0e-04,3.554e-01
252,2284,9.07,1.0e-04,3.023e-01
253,2293,9.07,1.0e-04,1.410e-01
254,2302,9.06,1.0e-04,3.194e-01
255,2311,9.07,1.0e-04,2.407e-01
256,2320,9.07,1.0e-04,2.189e-01
257,2329,9.07,1.0e-04,3.065e-01
258,2338,9.06,1.0e-04,1.563e-01
259,2347,9.07,1.0e-04,3.798e-01
260,2357,9.07,1.0e-04,2.312e-01
261,2366,9.07,1.0e-04,4.517e-01
262,2375,9.07,1.0e-04,2.809e-01
263,2384,9.06,1.0e-04,2.294e-01
264,2393,9.07,1.0e-04,1.432e-01
265,2402,9.06,1.0e-04,5.461e-01
266,2411,9.06,1.0e-04,1.836e-01
267,2421,9.07,1.0e-04,2.713e-01
268,2430,9.07,1.0e-04,3.604e-01
269,2439,9.07,1.0e-04,4.590e-01
270,2448,9.07,1.0e-04,2.458e-01
271,2457,9.07,1.0e-04,2.718e-01
272,2466,9.07,1.0e-04,3.444e-01
273,2475,9.07,1.0e-04,2.131e-01
274,2484,9.07,1.0e-04,2.536e-01
275,2493,9.07,1.0e-04,3.295e-01
276,2502,9.07,1.0e-04,1.951e-01
277,2511,9.07,1.0e-04,4.817e-01
278,2520,9.07,1.0e-04,2.706e-01
279,2530,9.07,1.0e-04,1.604e-01
280,2539,9.07,1.0e-04,3.993e-01
281,2549,9.07,1.0e-04,4.186e-01
282,2558,9.07,1.0e-04,1.231e-01
283,2567,9.07,1.0e-04,3.331e-01
284,2576,9.07,1.0e-04,1.457e-01
285,2585,9.07,1.0e-04,4.051e-01
286,2594,9.07,1.0e-04,3.416e-01
287,2603,9.07,1.0e-04,2.410e-01
288,2612,9.07,1.0e-04,1.672e-01
289,2621,9.07,1.0e-04,3.729e-01
290,2630,9.07,1.0e-04,2.460e-01
291,2639,9.07,1.0e-04,2.964e-01
292,2648,9.07,1.0e-04,1.648e-01
293,2656,9.07,1.0e-04,3.654e-01
294,2666,9.07,1.0e-04,2.750e-01
295,2675,9.07,1.0e-04,2.993e-01
296,2684,9.07,1.0e-04,4.577e-01
297,2693,9.07,1.0e-04,1.980e-01
298,2702,9.07,1.0e-04,3.212e-01
299,2711,9.07,1.0e-04,4.023e-01
300,2721,9.07,1.0e-04,4.865e-01
301,2729,9.07,1.0e-04,1.977e-01
302,2738,9.07,1.0e-04,4.713e-01
303,2747,9.07,1.0e-04,2.271e-01
304,2756,9.07,1.0e-04,5.025e-01
305,2765,9.07,1.0e-04,1.937e-01
306,2774,9.07,1.0e-04,2.591e-01
307,2783,9.07,1.0e-04,3.653e-01
308,2792,9.07,1.0e-04,1.754e-01
309,2801,9.07,1.0e-04,4.072e-01
310,2810,9.07,1.0e-04,3.373e-01
311,2819,9.06,1.0e-04,2.699e-01
312,2828,9.06,1.0e-04,1.577e-01
313,2837,9.06,1.0e-04,3.595e-01
314,2846,9.07,1.0e-04,4.133e-01
315,2855,9.07,1.0e-04,4.509e-01
316,2864,9.06,1.0e-04,3.119e-01
317,2873,9.06,1.0e-04,1.702e-01
318,2882,9.06,1.0e-04,2.965e-01
319,2891,9.06,1.0e-04,2.366e-01
320,2899,9.06,1.0e-04,1.681e-01
321,2908,9.06,1.0e-04,2.415e-01
322,2917,9.06,1.0e-04,3.143e-01
323,2927,9.06,1.0e-04,5.397e-01
